1311,Gasser,Josef,,1809,8,NULL,,NULL,arbeiter,Brixen__Schalders,unknown__Mittenwald,erschossen
1312,Stampf,Michael,,1809,11,8,,NULL,sonst.,Brixen__Brixen,Hofpgarten__Brixen,nahkampf
1313,Wieser,Johann,,1809,11,8,,NULL,sonst.,Brixen__Brixen,unknown__Trient,nahkampf
1314,Zöll,Josef,,1809,8,5,,NULL,arbeiter,Brixen__Brixen,unknown__ober Vahrn,nahkampf
1315,Nitz,Johann,,1809,11,8,,NULL,unbekannt,Brixen__Brixen,unknown__Mühlbacher Klause,nahkampf
1316,Fischer,Georg,,1809,12,6,,NULL,bauer,Brixen__Pinzagen,Brixen__Pinzagen,erschossen
1317,Rifeser,Georg,,1809,7,30,,NULL,bauer,Brixen__unbekannt,unknown__Unterau,erschossen
1318,Schrott,Franz,,1809,11,6,,NULL,handwerker,Brixen__Albeins,unknown__Hinterbachgart,erschossen
1319,Edenhauser,Georg,41,1809,11,9,,NULL,arbeiter,Brixen__Neustift,Mieders__Neustift,erschossen
1320,Fischer,Peter,,1809,11,9,,NULL,arbeiter,Brixen__Pinzagen,unknown__Unterau,erschossen
1321,Vordersteiger,Matthias,,1809,8,5,,NULL,arbeiter,Brixen__Ras,unknown__Unterau,erschossen
1322,Obexer,Johann,18,1809,8,4,,NULL,arbeiter,Brixen__Natz,Gossensaß__Mauls,erschossen
1323,Völkl,Georg,,1809,8,8,,NULL,arbeiter,Brixen__Elvas,Rattenberg__Oberau,erschossen
1324,Knochenegger,Peter,,1809,8,8,,NULL,arbeiter,Brixen__Elvas,Rattenberg__Oberau,erschossen
1325,Hasler,Josef ,25,1809,5,25,,NULL,arbeiter,Brixen__Natz,Innsbruck__Berg Isel,erschossen
1326,Holzer,Matthias,,1809,12,4,,NULL,arbeiter,Brixen__Natz,Brixen__Kranebitten,erschossen
1327,Überbacher,Joh.,84,1809,12,5,,NULL,bauer,Brixen__Natz,Brixen__Natz,erschossen
1328,Sargant,Johann,,1809,12,6,,NULL,arbeiter,Brixen__Elvas,Brixen__Kranebitten,erschossen
1329,Gasser,Johann,,1809,12,6,,NULL,bauer,Brixen__Ras,Brixen__Kranebitten,erschossen
1330,Unterweger,Michael,,1809,12,6,,NULL,unbekannt,Brixen__Kranebitten,Brixen__Kranebitten,erschossen
1334,Firler,Johann,,1809,5,29,,NULL,handwerker,Mühlbach__Mühlbach,Innsbruck__Berg Isel,kanone
1335,Ranzl,Johann,,1809,6,24,,NULL,bauer,Mühlbach__Kiens,Innsbruck__Berg Isel,wunde
1336,Moser,Georg,,1809,8,5,,NULL,handwerker,Mühlbach__Mühlbach,Rattenberg__Oberau,gefallen
